dataset,image_kind,image_size,image
kodak_photocd,real_kodim01,768x512,images/datasets/real/kodak/kodim01.png
kodak_photocd,real_kodim02,768x512,images/datasets/real/kodak/kodim02.png
kodak_photocd,real_kodim03,768x512,images/datasets/real/kodak/kodim03.png
kodak_photocd,real_kodim04,512x768,images/datasets/real/kodak/kodim04.png
kodak_photocd,real_kodim05,768x512,images/datasets/real/kodak/kodim05.png
kodak_photocd,real_kodim06,768x512,images/datasets/real/kodak/kodim06.png
kodak_photocd,real_kodim07,768x512,images/datasets/real/kodak/kodim07.png
kodak_photocd,real_kodim08,768x512,images/datasets/real/kodak/kodim08.png
kodak_photocd,real_kodim09,512x768,images/datasets/real/kodak/kodim09.png
kodak_photocd,real_kodim10,512x768,images/datasets/real/kodak/kodim10.png
kodak_photocd,real_kodim11,768x512,images/datasets/real/kodak/kodim11.png
kodak_photocd,real_kodim12,768x512,images/datasets/real/kodak/kodim12.png
kodak_photocd,real_kodim13,768x512,images/datasets/real/kodak/kodim13.png
kodak_photocd,real_kodim14,768x512,images/datasets/real/kodak/kodim14.png
kodak_photocd,real_kodim15,768x512,images/datasets/real/kodak/kodim15.png
kodak_photocd,real_kodim16,768x512,images/datasets/real/kodak/kodim16.png
kodak_photocd,real_kodim17,512x768,images/datasets/real/kodak/kodim17.png
kodak_photocd,real_kodim18,512x768,images/datasets/real/kodak/kodim18.png
kodak_photocd,real_kodim19,512x768,images/datasets/real/kodak/kodim19.png
kodak_photocd,real_kodim20,768x512,images/datasets/real/kodak/kodim20.png
kodak_photocd,real_kodim21,768x512,images/datasets/real/kodak/kodim21.png
kodak_photocd,real_kodim22,768x512,images/datasets/real/kodak/kodim22.png
kodak_photocd,real_kodim23,768x512,images/datasets/real/kodak/kodim23.png
kodak_photocd,real_kodim24,768x512,images/datasets/real/kodak/kodim24.png
synthetic_control,gradient,1024x1024,images/datasets/synthetic/gradient_1024x1024.ppm
synthetic_control,gradient,2048x2048,images/datasets/synthetic/gradient_2048x2048.ppm
synthetic_control,gradient,4096x4096,images/datasets/synthetic/gradient_4096x4096.ppm
synthetic_control,gradient,512x512,images/datasets/synthetic/gradient_512x512.ppm
synthetic_control,noise,1024x1024,images/datasets/synthetic/noise_1024x1024.ppm
synthetic_control,noise,2048x2048,images/datasets/synthetic/noise_2048x2048.ppm
synthetic_control,noise,4096x4096,images/datasets/synthetic/noise_4096x4096.ppm
synthetic_control,noise,512x512,images/datasets/synthetic/noise_512x512.ppm
synthetic_control,texture,1024x1024,images/datasets/synthetic/texture_1024x1024.ppm
synthetic_control,texture,2048x2048,images/datasets/synthetic/texture_2048x2048.ppm
synthetic_control,texture,4096x4096,images/datasets/synthetic/texture_4096x4096.ppm
synthetic_control,texture,512x512,images/datasets/synthetic/texture_512x512.ppm
